objectid,plazacode,plazaname,concessionairetype,plazatype,city,state,concessionairename,longitude,latitude
1556,375019,Banajodi,PF,National,Keonjhar,Odisha,SAI MAATARINI TOLLWAYS LIMITED,21.7096842,85.5834615
1557,330077,UNDVARIYA Toll Plaza,PF,National,Sirohi,Rajasthan,NHAI,24.633564,72.907054
1558,336007,Vantada Toll Plaza,PF,National,Aravalli,Gujarat,NHAI,23.61615,73.254472
1559,560009,Anumandhai,PF,State,Chennai,Tamil Nadu,TNRDC (ECR),12.1239228,79.9107642
1560,352020,Mahasamudram,PF,National,Mahasamudram,Andhra Pradesh,NHAI,13.194889,79.017469
1561,336016,Pithai Toll Plaza,PF,National,Kheda,Gujarat,Essel Infra,22.912793,72.957362
1562,375018,Kantaghar,PF,National,Keonjhar,Odisha,SAI MAATARINI TOLLWAYS LIMITED,21.5082779,85.8260561
1563,360054,Shenbagampettai Toll Plaza,PF,National,Shenbagampettai Village,Tamil Nadu,NHAI,10.1588453,78.6509687
1564,336011,Varahi Toll Plaza,PF,National,Patan,Gujarat,PATEL HIGHWAY MANAGEMENT,23.791235,71.427581
1565,336012,Makhel Toll Plaza,PF,National,Kutch,Gujarat,PATEL HIGHWAY MANAGEMENT,23.490455,70.942639
1566,336013,Bhiladi Toll Plaza,PF,National,Banaskantha,Gujarat,PATEL HIGHWAY MANAGEMENT,24.143877,71.977151
1567,336014,Bhalgam Toll Plaza,PF,National,Banaskantha,Gujarat,PATEL HIGHWAY MANAGEMENT,23.912345,71.783983
1568,375016,Gudipada or Gangapada,PF,National,Khordha,Odisha,NHAI,20.203404,85.668312
1569,320071,Chamari Toll Plaza,PF,National,Jalaun,Uttar Pradesh,M/s Eagle Infra India Ltd,26.036608,79.577976
1570,345051,Panihar,PF,National,Gwalior,Madhya Pradesh,Essel Infra,26.097998,78.015844
1571,360031,SriPerumbadur,PF,National,Kanchipuram,Tamil Nadu,NHAI,12.982155,79.968944
1572,340020,Daroada,PF,National,Wardha,Maharashtra,Anuj Kumar Aggarwal,20.450625,78.755243
